person,contributor_group,homepage,paper,year,paper_url,project_url,doi,arxiv_id,model_raw,model_canonical,entity_type,robot_type,arm_model,end_effector,usage_context,world,evidence,evidence_url,evidence_location,verification_status
Chengshu Li,Core Team,http://chengshuli.me,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Chengshu Li,Core Team,http://chengshuli.me,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Arpit Bahety,Alumni,https://arpitrf.github.io/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Arpit Bahety,Alumni,https://arpitrf.github.io/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Hang Yin,Core Team,https://hang-yin.github.io,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Hang Yin,Core Team,https://hang-yin.github.io,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Yunfan Jiang,Supporting Team,https://yunfanj.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Yunfan Jiang,Supporting Team,https://yunfanj.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Josiah Wong,Core Team,http://jowo.me,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Josiah Wong,Core Team,http://jowo.me,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Sujay Garlanka,Alumni,https://sujaygarlanka.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Sujay Garlanka,Alumni,https://sujaygarlanka.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Cem Gokmen,Core Team,https://www.cemgokmen.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Cem Gokmen,Core Team,https://www.cemgokmen.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Ruohan Zhang,Core Team,https://ai.stanford.edu/~zharu/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Weiyu Liu,Supporting Team,https://www.weiyuliu.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Weiyu Liu,Supporting Team,https://www.weiyuliu.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
Jiajun Wu,Core Team,https://jiajunwu.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,Galaxea R1,Galaxea R1,robot,bimanual mobile manipulator,Galaxea R1 integrated arm (6-DoF),parallel-jaw gripper,采集源演示并生成训练数据,real and simulation,Project page says source demonstrations are collected on a Galaxea R1.,https://momagen.github.io/,official project page,verified
Jiajun Wu,Core Team,https://jiajunwu.com/,MoMaGen: Generating Demonstrations under Soft and Hard Constraints for Multi-Step Bimanual Mobile Manipulation,2025,https://arxiv.org/abs/2510.18316,https://momagen.github.io/,,2510.18316,PAL Robotics TIAGo (dual-arm configuration),PAL Robotics TIAGo (dual-arm configuration),robot,bimanual mobile manipulator,PAL Robotics TIAGo integrated arm (7-DoF),parallel-jaw gripper,跨本体轨迹生成,simulation,Project page says R1 demonstrations are converted into trajectories for a TIAGo robot.,https://momagen.github.io/,official project page,verified
