behavior_model,sold_model,match_type,product_scope,condition,availability,price_kind,currency,price_min,price_max,tax_status,shipping_status,source_type,seller,source_url,confidence,notes,exchange_rate_to_cny,exchange_rate_date,exchange_rate_source,cny_min,cny_max,observed_at,category
TurtleBot 2 / Kobuki,TurtleBot 2 complete kit,historical launch estimate,complete robot,historical new-price estimate,discontinued,approx,USD,1500.0,1500.0,not stated,not stated,dated historical industry publication,IEEE Spectrum,https://spectrum.ieee.org/amp/turtlebot-2-prototypes-unveiled-at-roscon-2-2650266563,medium,"Contemporaneous 2012 estimate of about USD 1,500 for a complete TurtleBot 2; not a firm quote or current offer.",6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,10191.75,10191.75,2026-07-02,mobile robot
LoCoBot,LoCoBot V4 PX100 with LiDAR (ROS 2),same family configuration,complete robot,new,sold out / built to order timing by sales,fixed,USD,4269.95,4269.95,not stated,calculated at checkout,official store,Trossen Robotics,https://store.trossenrobotics.com/products/px100-locobot-2,high,Official LoCoBot family configuration; the BEHAVIOR simulation disables and fixes its arm.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,29012.18,29012.18,2026-07-02,mobile robot
Clearpath Husky,Clearpath Husky A200,exact,mobile base,new,order item,fixed,EUR,23353.75,23353.75,includes 19% VAT,shipping extra,professional robotics retailer,MYBOTSHOP,https://www.mybotshop.de/Clearpath,medium,"Exact A200 new mobile-base listing; optional sensors, computer and manipulators are separate.",7.7342,2026-07-01,https://api.frankfurter.app/2026-07-01?base=EUR&symbols=CNY,180622.57,180622.57,2026-07-02,mobile robot
Clearpath Husky,Clearpath Husky A300,successor/reference only,mobile base,new,order item,from,EUR,27000.0,27000.0,includes tax on displayed page,not stated,professional robotics reseller,Generation Robots,https://www.generationrobots.com/en/404267-husky-a300-ugv-mobile-base-1807.html,medium,Current A300 successor reference only; it is not assigned as the A200 price.,7.7342,2026-07-01,https://api.frankfurter.app/2026-07-01?base=EUR&symbols=CNY,208823.4,208823.4,2026-07-02,mobile robot
Fetch Robotics Freight,Fetch Robotics Freight base,historical base model,complete mobile base,historical new list price,legacy / no current new public offer,from,USD,35000.0,35000.0,unknown,unknown,robot reference database,ROBOTS Guide,https://robotsguide.com/robots/freight,medium,Historical base price; not a current quotation.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,237807.5,237807.5,2026-07-02,mobile robot
Franka Research 3,Franka Research 3,exact,robot arm system,new,official enquiry,quote,,,,not applicable,not applicable,official manufacturer,Franka Robotics,https://franka.de/franka-research-3,high,Official page provides a purchase/enquiry flow but no public numeric price.,,,,,,2026-07-02,stationary manipulator
Franka Research 3,Franka Research 3 with FCI licence,exact commercial configuration,robot arm system with controller and FCI,new,order item; eight-week delivery shown,from,EUR,33180.0,33180.0,includes tax,not stated,professional robotics retailer,Generation Robots,https://www.generationrobots.com/en/403992-7-axis-franka-research-3-robotic-arm-fci-licence.html,medium,Public new-price reference for an exact FR3 system including controller and FCI; the gripper is listed separately.,7.7342,2026-07-01,https://api.frankfurter.app/2026-07-01?base=EUR&symbols=CNY,256620.76,256620.76,2026-07-02,stationary manipulator
Trossen ViperX 300 6DOF,"ViperX 300 S Robot Arm, legacy 6DOF",exact legacy configuration,robot arm,last listed new price,discontinued / sold out,fixed,USD,6742.95,6742.95,not stated,calculated at checkout,official store,Trossen Robotics,https://store.trossenrobotics.com/products/viperx-300-s-robot-arm,high,Official last-listed price for the discontinued legacy arm.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,45814.97,45814.97,2026-07-02,stationary manipulator
A1,Galaxea A1,exact,6-DOF robot arm without gripper,new,no public exact-model price,quote,,,,not applicable,not applicable,official current-family store,Galaxea Dynamics,https://galaxea-dynamics.com/products/6-dof-ultra-light-robot-arm,high,"The current official store sells A1Z, not the legacy A1; no public exact legacy A1 price was found. Do not confuse with Unitree A1, and do not assign the A1Z price to this model.",,,,,,2026-07-02,stationary manipulator
A1,Galaxea A1Z,successor/reference only,6-DOF robot arm,new,in official store,fixed,USD,2999.0,2999.0,not stated,not stated,official store,Galaxea Dynamics,https://galaxea-dynamics.com/collections/frontpage,high,Reference price for current A1Z only; it is not presented as the price of the BEHAVIOR A1.,6.7945,2026-07-01,https://api.frankfurter.app/2026-07-01?base=USD&symbols=CNY,20376.71,20376.71,2026-07-02,stationary manipulator
